index,product,category,brand,brand_id,price
251,Baby Skincare Wipes - Sea Breeze,Baby Care,bigbasket,bigb,169
252,Richcee Vitamin C 500mg Tablets - Non-Acidic,Baby Care,Bionova,Bion,275
253,"Hairstim XT Biotin 10,000mcg Tablets - With Added Nutrients",Baby Care,Bionova,Bion,875
254,Richcee Vitamin C 1000mg Tablets - Non-Acidic,Baby Care,Bionova,Bion,675
255,Bio Berry Sensitive Mommy & Baby Bubble Bath,Baby Care,BIOTIQUE,BIOT,99
256,Disney Mickey - Bio Berry Baby Body Wash,Baby Care,BIOTIQUE,BIOT,180
257,Baby Diapers & Sanitary Disposal Bag,Baby Care,Bodyguard,Body,198
258,Premium Paraben Free Baby Wet Wipes With Aloe Vera,Baby Care,Bodyguard,Body,500
259,Protonic Instant Energy Booster - Watermelon Flavour,Baby Care,BTN Sports,BTN ,600
260,"Superior Natural Caffeine Capsules - Vegetarian, Calorie Burner",Baby Care,BTN Sports,BTN ,750
261,Baby Wet Wipes,Baby Care,Canopus,Cano,75
262,Baby Shampoo,Baby Care,Cetaphil ,Ceta,585
263,Soap Free Bathing Gel - Relax,Baby Care,Chicco,Chic,79
264,Baby Feeding Bottle Teat Medium Flow - 2m+,Baby Care,Chicco,Chic,279
265,Baby Soft Relax Teethers - 2 M+,Baby Care,Chicco,Chic,579
266,Talcum Powder,Baby Care,Chicco,Chic,99
267,Soap Free Bathing Gel - Refresh,Baby Care,Chicco,Chic,149
268,"Fabric Conditioner - For Baby, Pure",Baby Care,Comfort,Comf,244
269,Baby Wash - With No Harmful Chemicals & Tear Free Formula,Baby Care,Dabur,Dabu,160
270,Baby Lotion -  For Baby's Sensitive Skin With No Harmful Chemicals,Baby Care,Dabur,Dabu,375
271,Baby Wash 200ml+Baby Massage Oil 500ml(No Harmful Chemicals & Tear Free Formula),Baby Care,Dabur,Dabu,635
272,Ayurvedic Medicine Lal Tail,Baby Care,Dabur,Dabu,375
273,Baby Cream - For Soft Skin With No Harmful Chemicals,Baby Care,Dabur,Dabu,280
274,Amla Kid Nourishing Shampoo,Baby Care,Dabur Amla,Dabu,145
275,Premium - 3 Follow-Up Formula,Baby Care,Dexolac,Dexo,595
276,"Follow-Up Formula - Infant Powder, Stage 3",Baby Care,Dexolac,Dexo,304
277,Premium -1 Infant Formula,Baby Care,Dexolac,Dexo,515
278,"Infant Formula - Powder, Stage 1",Baby Care,Dexolac,Dexo,304
279,Organic - Dry Fruits & Seeds Jaggery Cookies,Baby Care,Early Foods,Earl,199
280,Infant Formula Baby Food Powder - Stage 1,Baby Care,Enfamil A+,Enfa,715
281,Infant Formula Baby Food Powder - Stage 2,Baby Care,Enfamil A+,Enfa,715
282,Baby Fun - Baby Wipes,Baby Care,Freshones,Fres,155
283,Easy Adult Diaper - Medium,Baby Care,Friends,Frie,500
284,Easy Adult Diaper - Large,Baby Care,Friends,Frie,525
285,Gentle Baby Wipes,Baby Care,Himalaya,Hima,699
286,"Total Care Baby Pants - Small, 28S",Baby Care,Himalaya,Hima,375
287,Total Care Baby Pants Diapers - XL,Baby Care,Himalaya,Hima,1350
288,Baby Hair Oil,Baby Care,Himalaya,Hima,125
289,Small - 28 Diapers,Baby Care,Himalaya Baby,Hima,350
290,"Baby Kit - Baby Massage Oil, Gentle Baby Soap, Baby Powder",Baby Care,Himalaya Baby,Hima,233
291,Baby Soap - Extra Moisturizing,Baby Care,Himalaya Baby,Hima,50
292,Total Care Small - 54 Diaper Pants,Baby Care,Himalaya Baby,Hima,700
293,Baby Powder,Baby Care,Himalaya Baby,Hima,72
294,Wipes - Gentle Baby,Baby Care,Himalaya Baby,Hima,184
295,Total Care Extra Large,Baby Care,Himalaya Baby,Hima,1000
296,Baby Powder,Baby Care,Himalaya Baby,Hima,215
297,Diaper Rash Cream,Baby Care,Himalaya Baby,Hima,120
298,"Mother's Plus, Vanilla",Baby Care,Horlicks,Horl,199
